Kor,Eng
책상 위에 있는 스탠드 조명이다.,A desk lamp sits on the desk.
곰 모양의 귀가 달려 있다.,It has bear-shaped ears.
취향 한 번 확고하네.,You've got pretty firm tastes.
곰인형들이 빽빽하게 놓여진 수납장이다.,A storage cabinet crammed with teddy bears.
인형들은 모두 어딘가 서툴게 꿰매지거나 고쳐진 흔적이 있다.,All the dolls bear traces of crude stitching or repair.
직접 리폼한 건가? \n취향 한 번....,Did you rework it yourself? \nThat's... quite a taste....
침대 위에 놓인 베개이다.,A pillow rests on the bed.
이불과 마찬가지로 레이스가 많이 달려 있다.,Just like the blanket` it’s trimmed with a lot of lace.
응? 뭐가 잡히는 것 같기도 하고...,Huh? I think something's caught...
기분 탓이 아니었다.,It wasn’t just my imagination.
베개 안엔 캐릭터 모양의 부적이 들어있다. \n건강이라 써져 있는 건가?,There’s a character-shaped charm inside the pillow. \nIs that ‘health’ written on it?
찝찝하게 베개에 넣어놨네....,Gross—they hid it inside the pillow....
이미 조사했어. \n다른 걸 살펴보자.,I've already checked this.\nLet's look at something else.
우연의 일기장이다. \n잠금 장치가 걸려 있다.,Accidy's diary.\nIt's locked.
하트 안에 생일 케이크가 들어있는 표지다.,It's a cover with a birthday cake inside a heart.
20XX년 11월 1일,November 1` 20XX
내일은 혼자 바다를 보러 간다. ,Tomorrow` I'm going to see the ocean alone.
나랑 같이 보러가자고 약속했으면서….\n나를 사랑한다고 했으면서…. ,You promised we'd go see it together...\nYou said you loved me...
거짓말은 싫어.\n그치만 사랑해. 보고 싶어. ,I hate lies.\nBut I love you. I miss you.
아` 이미 죽었지.,Ah` already dead.
우연의 일기 내용이다.,It's an entry from Accidy's diary.
약 때문에 기억이 흐릿하지만 확실히 지금은 10월이다.\n달을 착각한 것 같다.,The medication has my memory hazy` but I’m certain it’s October now.\nI must have gotten the month wrong.
무엇보다....\n나 이전에도 잡혀온 사람이 있었던 것 같아.,More than anything....\nI think someone was dragged here before me.
다이어리가 열리지 않는다.,The diary won't open.
이 비밀번호가 아닌가보다.,Looks like this isn’t the password.
곰인형 사이에 시계가 있다.,There is a clock between the teddy bears.
시계가 멈춰 있네` 고장났나?,The clock has stopped` Is it broken?
시계 안에 열쇠가 들어있다.,There's a key inside the clock.
열쇠는 빼고 시계는 제자리에 냅두자.,Let's remove the key and leave the clock where it is.
우연의 노트북이다. \n비밀번호가 걸려 있다.,It's Accidy's laptop. \nIt's locked with a password.
힌트는 [빨강 민트 보라 보라 핑크]...?,Is the hint [red mint purple purple pink]...?
우연의 노트북이다. ,It's Accidy's laptop.
편히 많이쓰는 채팅 어플이랑....SNS인가?,The messaging app we use all the time.... social media?
노트북이 열리지 않는다.,The laptop won’t open.
자퇴서이다.,It's a school withdrawal form.
이름 칸에 우연이라고 적혀 있다,The name field reads Accidy.
이름이 우연이 맞았구나...,So the name was Accidy after all...
카펫이 원래대로 돌아갔다.,The carpet returned to normal.
베개 안에서 [건강]이라고 적혀 있던 [캐릭터 부적]을 발견했다. \n미신에 기댈 정도로 몸이 안 좋은 건가?,I found a [character charm] labeled [health] inside the pillow.\nAre they so sick they’re resorting to superstition?
내 생일을 비밀번호로 한 [우연의 일기장]이다. \n[날짜를 착각]한 일기엔 나 이전에도 [누군가를 납치]한 내용이 적혀 있었다.,
[6시 30분]으로 맞추니 시계가 열렸다. \n[시계 안]에는 알 수 없는 [열쇠]가 들어있었다.,When I set it to [6:30]` the clock opened. \nThere was an unknown [key] [inside the clock].
우연의 [노트북]을 열었다. \n그 안에는 이런저런 내용이 있었다.,I opened Accidy's [laptop]. \nIt was full of all sorts of things.
바다가 그려진 포스터다. ,It's a poster of the sea.
처음에 일어났을 땐 창문인 줄 알았어....,When I first woke up` I thought it was a window....
[칼]이 있으면 뜯을 수 있을지도.,If I had a [knife]` I might be able to pry it open.
꾸며져 있는 커터칼이다.,A decorated box cutter.
어딘가에 쓸 일이 있을지도 모르니 챙겨두자.,It might come in handy somewhere. Let’s hold onto it.
커터칼로 포스터의 밑부분을 살살 긁었다.,I carefully scraped along the bottom edge of the poster with a box cutter.
포스터의 뒷장에는 연인끼리 가기 좋은 데이트 장소라고 적혀있다.,The back of the poster says it’s a good date spot for couples.
이런 거에 로망이 있나?,Is there really anything to romanticize about this?
다시 원래대로 붙여두자.,Let's put it back the way it was.
창문처럼 보이는 [포스터]를 발견했다. \n뒷장을 살펴보니 [데이트명소를 홍보]하는 홍보 포스터였다.,I found a [poster] that looked like a window. \nChecking the back` it turned out to be a promotional poster [promoting date spots].
우연의 옷장이다.,It's Accidy's closet.
...취향이 역시 확고하단 말이지.,...so your preferences really are set in stone` after all.
취향이 확고한 우연의 가방이다. \n전단지가 삐져나와 있다.,It's Accidy's bag—their tastes are very particular. \nA flyer is sticking out.
고양이의 티타임...... \n내가 자주 가던 프랜차이즈 카페이다. \n오픈이 [6시 30분]이라 밤샐 때 용이했지.,
자물쇠로 잠겨 있는 상자이다. \n[열쇠]가 필요해.,It's a box locked with a padlock. \nA [Key] is required.
내가 자주 가던 프랜차이즈 [카페의 전단지]를 발견했다. \n오픈이 [6시 30분]이라서 홍보를 많이 했던 기억이 있다.\n나도 시험 기간에 자주 방문했었지.,I found a [cafe flyer] from a chain I used to frequent.\nI remember they promoted it a lot because they opened at [6:30].\nI used to stop by often during exam season` too.
상자가 열렸다. \n그 안에서 사진 뭉텅이들이 나왔다.,The box opened. \nStacks of photographs spilled out from inside.
평소 내가 자주 가던 장소들과 내 사진이다. \n그리고 몇몇 장소는 처음 보는 장소들의 사진들도 있다.,They’re photos of the places I used to frequent` and of me.\nAnd there are also photos of a few places I’ve never seen before.
근데 숫자는 왜 적혀있는거지...?,But why are there numbers written...?
문이 유리로 된 서랍장이다. \n딱히 잠겨 있진 않아서 쉽게 문이 열린다.,It’s a glass-fronted cabinet. \nIt isn’t locked` so the door swings open easily.
내 생일이 표시되어 있다.,My birthday is marked.
내 생일을 어떻게 안거지?,How did you know it was my birthday?
또 다른 누군가의 생일이다.,It's another person's birthday.
우연의 생일인가?,Is it Accidy's birthday?
11월 2일이 가려져 있다.,November 2nd is obscured.
이유를 모르겠다. ,I don't know why.
10월 13일에 성공이라고 쓰여져 있다.,"It says ""Success"" on October 13."
납치를 성공했다는 뜻이겠지.,I guess that means the kidnapping was a success.
달력에 내 생일이 기록되어 있었다.,My birthday was marked on the calendar.
우연의 생일은 6월 16일인 것 같다.,Accidy’s birthday seems to be June 16.
11월 2일이 지워져 있었다.\n이유는 모르겠다.,November 2nd had been erased.\nI don't know why.
10월 13일에 성공이라 쓰여져 있었다. \n내가 이 날 납치당한 듯하다.,October 13 was marked “success.” \nIt seems I was abducted that day.
{PlayerName}!! 잘 있었어?,{PlayerName}!! Have you been well?
우연이 귀가했다.,Accidy has returned home.
아 오늘도 진짜 너무 보고 싶었어.\n나 오늘은 길에 나갔는데 어떤 짜증 나게 생긴 사람이 자꾸 나한테 말을 걸던 거 있지?,Ah` I really missed you so much today` too.\nI went out today` and guess what—some annoying-looking person kept trying to talk to me.
자꾸 따라오던 게 얼마나 기분 나빴는지 몰라.,You have no idea how awful it felt when you kept following me around.
사람들이 너무 싫어 나는 평생 {PlayerName}(이)랑만 살고 싶다.,I hate people so much. I just want to live with {PlayerName} forever.
밖에 나가기 싫어….,I don't want to go outside….
그래도 일이 있는 거 아니야?,But don't you have work to do?
뭐…. 하아. 진짜 {PlayerName}이(가) 없으면 나 죽어버릴지도 몰라.,Well... Sigh. Seriously` without {PlayerName}` I might just die.
무슨 그런 말을 해....,Why would you say something like that....
그러던가.,Suit yourself.
장난같아?,You think this is a joke?
….,….
사랑해. 우리 꼭 영원히 함께하자` \n응? 떠나면 안 돼. 알았지?,I love you. Let's be together forever` \nHm? Don't leave. Got it?
[난 당부했어\n떠나지 말라고.],[I told you\nnot to leave.]
{PlayerName}! 나왔어~! ,{PlayerName}! I'm out!
역시 밖에 나가는 건 너무 싫어.\n다들 나를 무섭게 바라보고 있는 것만 같아.,I knew it—I really hate going outside.\nIt feels like everyone is staring at me menacingly.
오늘도 밖에서 누가 나를 무섭게 쳐다볼까 봐 걱정됐어.\n역시 방 안에만 있는 게 가장 좋은데….,I was afraid again today that someone outside would stare at me in that scary way.\nAfter all` it's best to just stay in my room….
그래도 나가야 하는 거 아니야?,Still` shouldn't we get out?
고분고분 말 잘 듣는 척을 하며 대답했다.,I answered` feigning obedience.
하….있지 나는 어른이 정말 싫어.\n금방이라도 나에게 큰소리로 화낼 것 같아…,Sigh... You know` I really hate adults.\nIt feels like they'll start yelling at me any second…
...갑자기?\n무슨 일이 있었나.....,...Suddenly?\nDid something happen.....
그러니까 {PlayerName}이(가) 옆에서 꼭 나를 예뻐해줘야 해.\n화내면 안 돼.\n큰 소리도 안 돼.,---TRANSLATION ERROR---
....,....
떠나도 안 돼.\n사랑한다고만 해줘.,You can't leave.\nJust say you love me.
….,….
차마 대답을 할 수 없었다.,I couldn’t bring myself to answer.
사랑해.,I love you.
일주일간 방을 뒤졌다.\n그 결과 우연이 날 가둔 건 계획됐다고 결론 내렸다.,I ransacked the room for a week.\nAs a result` I concluded that Accidy had planned to lock me in.
여기서 섣불리 나간다면 분명 다시 잡혀 올 거야...,If we rush out of here` we'll definitely be caught and dragged back...
우연이 어떤 사람인지 좀 더 확실하게 알아야 할 필요성이 있어.,We need a clearer idea of what kind of person Accidy is.
이번 일주일은 우연을 따라다니며 우연의 생활 패턴을 분석해봐야겠다.,Over the next week` I'll follow Accidy around and analyze their daily routine.
내가 갇혀 있던 빌라인가...\n원래 살던 곳과 가까운 곳에 있었네.,Is this the villa I was locked up in...?\nTurns out it was close to where I used to live.
오히려 너무 평범한 곳이라서 놀랐어.,I was actually surprised by how ordinary it was.
2층에 있는 빵집이다\n갓 구운 빵 냄새가 난다.,It's the bakery on the second floor\nIt smells of freshly baked bread.
우연이 가끔 사오는 빵이 여기에서 사온 거였나?,Was this where Accidy sometimes bought the bread?
평범한 편의점이다.\n우연이 여기서 도시락을 자주 사왔던 것으로 기억한다.,Just a normal convenience store.\nI remember Accidy used to buy boxed lunches here a lot.
칵테일 바다.\n유흥가인 게 티가난다.,A sea of cocktails.\nYou can tell it’s a nightlife district.
지금은 영업시간이 아닌 것 같아,Looks like they’re closed right now.
이자카야다.,It's an izakaya.
고양이다.\n밤이 아니어서 그런지 자고 있다.,It's a cat.\nMaybe because it's not night` it's asleep.
귀엽네....,Cute....
고양이의 티타임.\n내가 자주 가던 저가형 프랜차이즈 카페이다.,Cat's Tea Time.\nIt's a budget chain cafe I used to frequent.
우연이 방금 이곳에서 커피를 사갔다.,Accidy just picked up a coffee here.
조사할 만한 게 있나?,Anything worth investigating?
내가 자주 가던 카페이다.\n우연도 이 곳을 자주 찾는 건가?,I used to come to this cafe a lot.\nDoes Accidy come here often too?
내가 자주 가던 카페이다.\n또한 우연의 가방에서 발견한 전단지의 장소이다.\n우연도 이곳을 좋아하나...?,It’s a café I used to frequent.\nIt’s also the place on the flyer I found in Accidy’s bag.\nDoes Accidy like this place too...?
우연이 시킨 영수증이다.\n쓰레기통에 한 번에 넣지 못한 듯하다.,It's the receipt for Accidy's order.\nLooks like it didn't make it into the trash can in one try.
카페라떼.... 내가 가장 좋아하는 메뉴인데.\n우연도 카페라떼를 좋아하나?,Cafe latte.... It's my favorite menu item.\nDoes Accidy like cafe latte too?
우연이 카페라떼를 결제한 영수증을 발견했다.\n우연도 카페라떼를 좋아하나?,I found the receipt for a cafe latte Accidy paid for.\nDoes Accidy like cafe lattes too?
내가 갇힌 곳 앞에 있는 신호등이다.\n그냥 평범해 보인다.,It's the traffic light in front of where I'm trapped.\nIt just looks ordinary.
근데 우연은 왜 뚫어져라 바라본건지?,But why was Accidy staring so intently?
우연은 신호가 바뀌고서도 가만히 멈춰서서 [신호등]을 멍하니 바라보았다.\n이유가 있는 걸까?,Even after the light changed` Accidy stood still` staring blankly at the [traffic light].\nWas there a reason?
우연이 마시던 카페라떼다.\n두 모금 정도만 마신 것 같다.,It’s the cafe latte Accidy was drinking.\nLooks like only about two sips were taken.
별로 안 좋아하는 것 같은데 왜 이걸 마셨을까?,You don’t seem to like it much—so why did you drink this?
우연은 카페라떼를 별로 안 좋아하는 것 같았다.\n왜 굳이 좋아하지도 않는 카페라떼를 마시는 걸까?,Accidy didn’t seem to be very fond of cafe lattes.\nSo why bother drinking a cafe latte they don’t even like?
잠긴 상자를 열었더니 사진들이 뭉텅이로 나왔다.\n내가 [자주 가는 장소]들과 [가고 싶었던 장소]의 사진들이었다.,When I opened the locked box` a thick stack of photos spilled out.\nThey were photos of [places I often go] and [places I wanted to visit].
내가 좋아하는 스타일의 옷가게다.\n우연이 이곳으로 들어간 것 같다.,A clothing store in my style.\nLooks like Accidy went inside.
우연의 취향은 이런 옷 스타일이 아니었던 것 같은데?,This kind of outfit wasn’t Accidy’s style` was it?
우연이 자신의 취향이 아닌 옷가게에 익숙한 듯이 들어갔다.,Accidy walked into a clothing store that wasn’t their style` as if they were used to it.
우연 취향의 옷가게\n2층에 있는 옷가게인데 우연은 믿을 수 없을 정도로 빨리 나왔다.,Accidy’s kind of clothing shop\nIt’s a clothing store on the second floor` but Accidy left unbelievably quickly.
많이 산 것 같은데 10분도 안 걸렸어....,Feels like I bought a lot` but it didn't even take 10 minutes....
우연은 자신의 취향의 옷가게에서 10분도 안 되어 옷을 잔뜩 사들고 나왔다.\n이게 가능한 건가?,Accidy came out of a clothing store that matched their taste` arms full of clothes` in less than ten minutes.\nIs that even possible?
그냥 평범한 공사장이다.\n우연이 멈춰서서 한동안 뚫어져라 바라봤다.,Just an ordinary construction site.\nAccidy stopped and stared for a long while.
봐도 어떤 공사인지 잘 모르겠는데....,Even looking at it` I still can't tell what kind of construction this is....
우연은 [공사장]을 가만히 서서 뚫어져라 바라봤다.,Accidy stood motionless` staring intently at the [construction site].
오므라이스 전문점이다.\n맛있는 냄새가 여기까지 난다.,It's an omurice specialty shop.\nA delicious smell wafts all the way over here.
칵테일 바다.\n아직 영업 시간이 아닌 듯하다.,It’s a cocktail bar.\nLooks like it’s not open yet.
여러 화장품 브랜드를 다루는 화장품 가게다.\n세일 중인가?,It’s a cosmetics shop that carries various brands.\nAre they running a sale?
뮤직바다.\n아직 영업을 하고 있지 않은 것 같다.,Music Sea.\nIt looks like they’re not open yet.
클럽이다.\n아직 영업 전이라 그런지 시끄럽진 않다.,It's a club.\nMaybe because they haven't opened yet` it's not noisy.
맥주 전문점이다.\n아직 영업을 안 하는 것 같다.,It's a beer bar.\nIt looks like they're not open yet.
먼저 방을 둘러볼까?,Shall we look around the room first?
[화살표를 누르면 시점을 이동]할 수 있다.,You can [press the arrow to move the viewpoint].
방을 가볍게 둘러봤다.\n방을 둘러보다 보니 카펫에 발이 걸리는 기분이 들었다.\n[카펫과 의자가 보이는 면]으로 돌아가서 [카펫을 눌러] 들춰보자.,I took a quick look around the room.\nAs I looked around` I felt my foot catch on the carpet.\nGo back to [the side with the carpet and chair] and [press the carpet] to lift it.
의자가 카펫 위에 있어서 카펫을 들출 수 없는 것 같아.,The chair’s on the carpet` so I don’t think I can pull up the carpet.
우선 [의자를 눌러서] 옆으로 밀고\n[그다음 카펫을 조사]해보자.,
카펫의 아래엔 종이가 있다.,There’s a piece of paper under the carpet.
[종이를 조사]하자.,Let's [examine the paper].
납치범은 주말엔 집에서 나가지 않는것 같다.,It seems the kidnapper doesn't leave the house on weekends.
카펫을 들추고 종이를 조사하니 [몸이 조금씩 피로해지는 것 같아.],After lifting the carpet and examining the paper` [I feel my body getting a little more fatigued.]
[조사할 때마다 피로도가 감소한다].\n피로도를 신경 쓰며 조심조심 활동하자.,[Fatigue decreases every time you investigate].\nKeep an eye on your fatigue and proceed with extra care.
납치범이 돌아오기 전에 [피로도를 고려하여 방을 조사해보자.],Before the kidnapper comes back [Let's investigate the room` taking our fatigue into account.]
아직 뜯지 않은 듯한 쇼핑백이 무더기로 있다.,There are piles of shopping bags that look like they haven’t been opened yet.
옷 사는 걸 좋아하는 건가?,Do you like buying clothes?
평범한 포스터들이다.\n방을 꾸미기 위해서 산 것 같다.,Just ordinary posters.\nLooks like they were bought to decorate the room.
방이랑 잘 어울린다고 해야 하나....,I guess it suits the room....
수납장 안에도 곰인형이 가득하다.\n전부 어딘가 리폼한 듯한 흔적들이 있다.,The cabinet is crammed with teddy bears` too.\nThey all show signs of having been altered somehow.
이건 모으는 것도 일이겠어.,Gathering these is going to be a job in itself.
저 사람은 뭐야!\n사람을 쳐두고 사과도 안 하네?!,What is wrong with that person!\nThey hit someone and don't even apologize?!
이래서 요즘 어린 것들은!,This is what's wrong with kids these days!
우연은 사람이 앞에 있는데도 무시하고 사람의 어깨를 쳤다.,Accidy ignored the person right in front and shoulder-checked them.
잠시 비웃는 표정이었던 것 같은데....,I thought I saw a smirk for a moment....
우연은 길의 행인을 보고도 피하지 않고 어깨를 쳤다.\n그러고는 비웃는 것 같은 얼굴로 행인을 바라봤다.,Accidy saw a passerby on the street and didn’t step aside` shoulder-checking them.\nThen` with a sneer` Accidy looked at the passerby.
중심을 잃고 쓰러진 개업축하 화환이다.\n우연은 화환이 쓰러지기 전에 피해서 다치진 않았다.,It’s a toppled grand-opening congratulatory wreath.\nAccidy dodged it before it toppled and wasn’t hurt.
우연은 분명 화환 쪽으로 시선도 돌리지 않았어...,Accidy definitely didn't even glance toward the wreaths...
우연은 화환이 [쓰러지기 전에] 화환을 보지도 않고 [피했다.],
우연은 정말 주말 동안 한시도 내 곁에서 떨어지지 않았다.,Accidy didn’t leave my side for a single moment all weekend.
우연은 내가 말을 잘 따를 때마다 기쁘다는 듯이 반응했다.\n덕분에 나에 대한 감시 역시 조금 느슨해진 것 같다.,Accidy reacted as if pleased whenever I did as I was told.\nThanks to that` the surveillance on me seems to have eased a little` too.
지금이라면 외출을 해볼 수 있을 것이다.,I should be able to step outside now.
실수로 떨어뜨린 여분용 열쇠도 챙겼고...,And I picked up the spare key I accidentally dropped` too...
응? {PlayerName} 방금 뭐라고 그랬어?,Huh? {PlayerName}` what did you just say?
아니야.,No.
우연은 오랫동안 나를 감시해온 게 분명하다.\n섣불리 탈출을 시도했다가 또다시 감금될 수 있다.,It’s clear Accidy has been watching me for a long time.\nIf I try to escape rashly` I could be locked up again.
[우선 우연을 따라다니며 우연의 생활 반경을 조사하는 게 먼저야.]\n그래야지 어떻게 도망갈지 생각해볼 수 있겠지.,[First` we need to tail Accidy and map out Accidy’s usual haunts.]\nOnly then can we figure out how to escape.
그럼 나 나갔다 올게~!\n오늘도 나가지 말고 방에 잘 있어야 해. 사랑해 {PlayerName}!,Alright` I'm heading out for a bit~!\nStay put in your room and don't go out today. Love you` {PlayerName}!
우연이 나가고 조금 기다린 후에 따라 나왔다.\n생각보다 내가 살던 곳과 가까웠다.,After Accidy left` I waited a moment and followed them out.\nIt was closer to my old place than I’d expected.
우연이 아까 신호등을 보고 있었지?,Accidy was staring at the traffic light earlier` right?
[신호등을 조사해보자],[Investigate the traffic light]
이럴때가 아니야. 이러고 있다간 우연을 놓치겠어.,Now’s not the time. If I keep this up` I’ll lose Accidy.
나도 빨리 따라가야지.,I should hurry and follow` too.
[우연이 뒤를 돌아본다.],[Accidy looks back.]
이런 식으로 우연에게 들키지 않도록 조사하면 될 듯하다.,Looks like I should investigate this way so Accidy won't notice.
너무 우연과 가깝게 다가가면 우연의 의심을 사게 될거야.,If you get too close to Accidy` you’ll draw Accidy’s suspicion.
반면 너무 멀어지면 우연을 찾을 수 없게될지도 몰라...,On the other hand` if you go too far` you might not be able to find Accidy...
[우연과 거리를 고려하며 조사하자],[Investigate while keeping your distance from Accidy]
오늘은 그냥 쉴까?,Should I just take a break today?
조사하자.,Let's investigate.
그만두자.,Let's stop.
쉬고 났더니 꽤 많은 시간이 흐른 것 같았다.,After I’d rested` it felt like quite a lot of time had passed.
그래도 푹 쉬니 편하긴 하네.,Still` after a good rest` I do feel better.
조사하면 시간이 흐른다. 그래도 조사해볼까?,Investigating will make time pass. Investigate anyway?
슬슬 돌아갈 시간 같은데...,Looks like it’s about time to head back...
{PlayerName}....보고 싶다....,{PlayerName}....I miss you....
{PlayerName}도 나만 생각하며 기다리고 있겠지?,{PlayerName} must be waiting for me` thinking only of me too` right?
슬슬 돌아가야겠어! ,Time to head back!
아직 둘러보지 않은 면이 남은 것 같아. 우선 [방의 모든 면을 둘러보자.]\n화면 좌우에 위치한 [화살표 버튼]을 누르면 방의 다른 면으로 갈 수 있다.,It looks like there's still a side we haven't checked yet. First` [Let's check every side of the room.]\nPress the [arrow button] on the left and right sides of the screen to move to another side of the room.
[카펫과 의자가 보이는 면]으로 돌아가서 [카펫을 눌러] 들춰보자.,Go back to [the side where the carpet and chair are visible]` then [press the carpet] to lift it.
[카펫을 눌러] 들춰보자.,[Press down on the carpet] Let's lift it up.
[카펫과 의자가 보이는 면]으로 돌아가서 [종이를 눌러] 조사해보자.,Go back to the [side where the carpet and chair are visible] and [press the paper] to investigate.
[종이를 눌러] 조사해보자.,[Press the paper] Let's investigate.
혹시 모르니까 카펫은 다시 덮어두는 쪽이 좋겠어..,We should cover the carpet back up` just in case..
[카펫을 눌러] 다시 덮어두자.,[Press the carpet] Let's cover it back up.
[카펫을 덮자.],[Let's cover it with the carpet.]
내 생일 말고도 다른 표시가 [하나 더] 되어 있는 것 같은데...?,It looks like there’s [one more] mark besides my birthday…?
{PlayerName}? 왜 여기 있어?,{PlayerName}? Why are you here?
어...,Uh...
난 {PlayerName}을(를) 믿고... 두고 간 건데.... 설마 도망치려 한 건 아니지?,I trusted {PlayerName}... and left you there.... You weren't trying to run away` were you?
열쇠는 고의로 두고 간 거구나.\n내가 섣불렀어.,You left the key on purpose.\nI acted too rashly.
답답해서...,It’s suffocating...
네가 보고 싶어서.,Because I wanted to see you.
내가분명방에있으라고그랬잖아.\n나두고없어지면죽어버린다고그랬잖아,DIDN'T I TELL YOU TO STAY IN THE ROOM?\nDIDN'T I TELL YOU I'D DIE IF YOU DISAPPEARED AND LEFT ME BEHIND?
내가죽었으면좋겠어서그렇게한거야?\n아니다내가없으니까내가너무보고싶었구나?,DID YOU DO THAT BECAUSE YOU WANTED ME TO DIE?\nNO` IT'S BECAUSE I WAS GONE—YOU MISSED ME SO MUCH` DIDN'T YOU?
그치?응{PlayerName}이(가)날배신할일없어\n근데정말왜나온거야?,RIGHT? YEAH` {PlayerName} WOULD NEVER BETRAY ME\nBUT WHY DID YOU REALLY SHOW UP?
내가 무슨 말을 해도 통하는 상태가 아닌 것 같다.,It seems like nothing I say is getting through.
아`그래.{PlayerName}은(는)날너무너무좋아하니까나온거야\n그래서날못보면안되니까그런거야.,
분명전에도내가걱정된다고말해줬으니까\n날생각해서그런거야,
맞아나도항상{PlayerName}을(를)생각하고걱정하고있으니까.,RIGHT` BECAUSE I'M ALWAYS THINKING OF AND WORRYING ABOUT {PlayerName}` TOO.
우리 같이 돌아가자!,Let's go back together!
갑자기 우연이 평소대로 돌아왔다.,Suddenly` Accidy returned to normal.
지금 함께 돌아가야 하나,Do we have to go back together now?
응` 돌아가자,Yeah` let's go back
...,...
내가보고싶었다고?\n정말이야?{PlayerName}은(는)날정말좋아하는구나\n설마나한테거짓말을치진않았겠지,
근데왜내말을안들어주는거야?\n날사랑하지않는건가?\n난항상열심히{PlayerName}을(를)대했는데,
분명{PlayerName}이(가)나오면나죽을지도모른다고했잖아.\n내말은기억도안해주는거야?\n역시내가죽었으면좋겠다고생각했구나,
응!,Yeah!
우연이 팔을 잡아 이끈다.\n우연에 맞춰 무거운 발걸음을 옮겼다.,Accidy grabs my arm and leads me.\nI dragged my heavy feet to keep pace with Accidy.
왜 대답 안 해?,Why won't you answer?
우연이 팔을 잡았다.,Accidy grabbed my arm.
아니면 진짜 내가 죽었으면 좋겠어? ,Or do you really want me to die?
잠시 떨리는 손으로 뭔가를 찾는듯했다.,For a moment` they seemed to be searching for something with trembling hands.
냅두면 큰 일이 날 것 같았다.,It felt like something terrible would happen if I left it alone.
돌아가자.,Let's go back.
